word,meaning,type,level,sentence,sentence_cn,phonetic
gold,黄金/金色,名词_pic,A2,The ring is made of pure gold.,这枚戒指是纯金做的。,/ɡoʊld/
ink,墨水,名词_pic,A2,The pen ran out of ink.,钢笔没墨水了。,/ɪŋk/
iron,铁/熨斗,名词_pic,A2,The gate is made of iron.,大门是铁制的。,/ˈaɪərn/
metal,金属,名词_pic,A2,The chair is made of metal.,这把椅子是金属做的。,/ˈmetl/
oil,油,名词_pic,A2,Use oil for cooking.,用油烹饪。,/ɔɪl/
powder,粉末,名词_pic,A2,The medicine comes in powder form.,这种药是粉末状的。,/ˈpaʊdər/
sand,沙子,名词_pic,A2,There is sand on the beach.,沙滩上有沙子。,/sænd/
silver,银,名词_pic,A2,The ring is made of silver.,这枚戒指是银的。,/ˈsɪlvər/
brick,砖块,名词_pic,A2,The house is made of bricks.,这栋房子是砖砌的。,/brɪk/
thread,线,名词_pic,A2,There are three threads on the floor.,地板上有三根线。,/θred/
wire,电线,名词_pic,A2,There are wires under the floor.,地板下面有电线。,/ˈwaɪər/
copper,铜,名词_pic,B1,The pipes are made of copper.,管道是铜制的。,/ˈkɑːpər/
grain,谷物/颗粒,名词_pic,B1,The farmer grows grain in the field.,农民在田里种植谷物。,/ɡreɪn/
lead,铅,名词_pic,B1,The pipe is made of lead.,管道是铅制的。,/led/
leather,皮革,名词_pic,B1,These shoes are made of good leather.,这双鞋是用好皮革做的。,/ˈleðər/
liquid,液体,名词_pic,B1,Water is a liquid.,水是液体。,/ˈlɪkwɪd/
paste,浆糊,名词_pic,B1,Use paste to stick the paper.,用浆糊粘纸。,/peɪst/
poison,毒药,名词_pic,B1,The poison killed the rat.,毒药毒死了老鼠。,/ˈpɔɪzn/
silk,丝绸,名词_pic,B1,The dress is made of pure silk.,这条裙子是纯丝绸做的。,/sɪlk/
steam,蒸汽,名词_pic,B1,Steam rose from the hot water.,热水冒出了蒸汽。,/stiːm/
steel,钢,名词_pic,B1,The bridge is made of strong steel.,这座桥是用坚固的钢材建造的。,/stiːl/
tin,锡/罐头,名词_pic,B1,The tins are on the shelf.,罐头在架子上。,/tɪn/
wax,蜡,名词_pic,B1,The wax becomes softer when it is warm.,蜡在温暖时会变得更软。,/wæks/
wool,羊毛,名词_pic,B1,The wool is softer than cotton.,羊毛比棉花更软。,/wʊl/
brass,黄铜,名词_pic,B2,The bell is made of brass.,这个铃是黄铜做的。,/bræs/
canvas,帆布,名词_pic,B2,The artist painted on a large canvas.,艺术家在一块大帆布上作画。,/ˈkænvəs/
cork,软木塞,名词_pic,B2,Pull the cork out of the bottle.,把瓶子的软木塞拔出来。,/kɔːrk/
linen,亚麻布,名词_pic,B2,The tablecloth is made of linen.,桌布是亚麻的。,/ˈlɪnɪn/
polish,光泽/上光剂,名词_pic,B2,The polish made the shoes shine.,鞋油让鞋子发亮。,/ˈpɑːlɪʃ/
brother,兄弟,名词_pic,A1,My brother is taller than me.,我的哥哥比我高。,/ˈbrʌðər/
daughter,女儿,名词_pic,A1,His daughter is younger than his son.,他的女儿比儿子年轻。,/ˈdɔːtər/
father,父亲,名词_pic,A1,My father is taller than my mother.,我的父亲比母亲高。,/ˈfɑːðər/
friend,朋友,名词_pic,A1,She has more friends than her sister.,她的朋友比她姐姐多。,/frend/
man,男人,名词_pic,A1,The man is taller than the woman.,这个男人比那个女人高。,/mæn/
mother,母亲,名词_pic,A1,My mother is kinder than my father.,我的母亲比父亲更和善。,/ˈmʌðər/
person,人,名词_pic,A1,There are ten persons in the room.,房间里有十个人。,/ˈpɜːrsn/
sister,姐妹,名词_pic,A1,My sister is older than me.,我姐姐比我大。,/ˈsɪstər/
son,儿子,名词_pic,A1,Her son is taller than her daughter.,她的儿子比女儿高。,/sʌn/
woman,女人,名词_pic,A1,The women are talking loudly.,女人们在高声谈话。,/ˈwʊmən/
baby,婴儿,名词_pic,A1,The babies are sleeping peacefully.,婴儿们正在安静地睡觉。,/ˈbeɪbi/
boy,男孩,名词_pic,A1,The boys are running fast.,男孩们跑得很快。,/bɔɪ/
girl,女孩,名词_pic,A1,The girls are my daughters.,这些女孩是我的女儿。,/ɡɜːrl/
cook,厨师,名词_pic,A1,He is a good cook.,他是个好厨师。,/kʊk/
guide,指南/导游,名词_pic,A2,Our guide showed us the way to the top.,导游带我们登上了山顶。,/ɡaɪd/
manager,经理,名词_pic,A2,She is the manager of the store.,她是这家商店的经理。,/ˈmænɪdʒər/
secretary,秘书,名词_pic,A2,She works as a secretary in an office.,她在办公室做秘书。,/ˈsekrəteri/
expert,专家,名词_abs,B1,He is an expert in computer science.,他是计算机科学方面的专家。,/ˈekspɜːrt/
judge,法官,名词_abs,B1,The judge made a fair decision.,法官做出了公正的判决。,/dʒʌdʒ/
owner,所有者,名词_pic,B1,The owner of the car is my neighbor.,这辆车的主人是我邻居。,/ˈoʊnər/
porter,搬运工,名词_pic,B1,The porter carried our heavy bags.,搬运工拿着我们沉重的行李。,/ˈpɔːrtər/
representative,代表,名词_abs,B1,He is the representative of the company.,他是公司的代表。,/ˌreprɪˈzentətɪv/
servant,仆人,名词_abs,B1,The servant cleaned the house every day.,仆人每天打扫房子。,/ˈsɜːrvənt/
country,国家,名词_pic,A1,China is a large country.,中国是一个大国。,/ˈkʌntri/
end,结束/末端,名词_pic,A1,There is a shop at the end of the street.,街道的尽头有一家商店。,/end/
front,前面,名词_pic,A1,There is a garden in front of the house.,房子前面有一个花园。,/frʌnt/
land,土地/陆地,名词_pic,A1,This land is very fertile.,这片土地很肥沃。,/lænd/
middle,中间,名词_pic,A1,He was standing in the middle of the room.,他站在房间中间。,/ˈmɪdl/
mountain,山,名词_pic,A1,The mountain is very high.,这座山很高。,/ˈmaʊntn/
place,地方,名词_pic,A1,This is a very nice place.,这是个非常好的地方。,/pleɪs/
river,河流,名词_pic,A1,The river is wider than the stream.,这条河比那条小溪更宽。,/ˈrɪvər/
road,道路,名词_pic,A1,The road is long and straight.,这条路又长又直。,/roʊd/
room,房间,名词_pic,A1,There are three rooms in the house.,房子里有三个房间。,/ruːm/
sea,海洋,名词_pic,A1,The sea is blue and wide.,大海又蓝又宽阔。,/siː/
seat,座位,名词_pic,A1,There is an empty seat next to me.,我旁边有一个空座位。,/siːt/
side,边/侧面,名词_pic,A1,The park is on the other side of the street.,公园在街道的另一边。,/saɪd/
sky,天空,名词_pic,A1,The sky is blue and clear.,天空晴朗湛蓝。,/skaɪ/
top,顶部,名词_pic,A1,The top of the mountain is higher than the base.,山顶比山脚更高。,/tɑːp/
bridge,桥,名词_pic,A1,There is a bridge across the river.,河上有一座桥。,/brɪdʒ/
church,教堂,名词_pic,A1,There are two churches in the town.,镇上有两座教堂。,/tʃɜːrtʃ/
farm,农场,名词_pic,A1,There are many farms in the area.,这个地区有很多农场。,/fɑːrm/
floor,地板,名词_pic,A1,The books are on the floor.,书在地板上。,/flɔːr/
garden,花园,名词_pic,A1,The flowers are in the gardens.,花在花园里。,/ˈɡɑːrdn/
hospital,医院,名词_pic,A1,There are two hospitals in the city.,这座城市有两家医院。,/ˈhɑːspɪtl/
house,房子,名词_pic,A1,The houses are made of brick.,这些房子是砖砌的。,/haʊs/
library,图书馆,名词_pic,A1,There is a library in the town.,镇上有一个图书馆。,/ˈlaɪbreri/
office,办公室,名词_pic,A1,There are two offices in the building.,大楼里有两间办公室。,/ˈɔːfɪs/
school,学校,名词_pic,A1,There are many schools in the city.,城市里有许多学校。,/skuːl/
station,车站,名词_pic,A1,There is a station near the river.,河边有一个车站。,/ˈsteɪʃən/
store,商店,名词_pic,A1,There are many stores on the street.,街上有许多商店。,/stɔːr/
street,街道,名词_pic,A1,The streets are longer than the lanes.,街道比小巷更长。,/striːt/
town,城镇,名词_pic,A1,There are three towns near the river.,河边有三个城镇。,/taʊn/
wall,墙,名词_pic,A1,The walls of the house are thick.,房子的墙很厚。,/wɔːl/
window,窗户,名词_pic,A1,The windows are open widely.,窗户大开着。,/ˈwɪndoʊ/
edge,边缘,名词_pic,A2,Be careful at the edge of the cliff.,在悬崖边缘要小心。,/edʒ/
field,田野/领域,名词_pic,A2,The cows are eating grass in the field.,奶牛在田野里吃草。,/fiːld/
market,市场,名词_pic,A2,There is a market near the river.,河边有一个市场。,/ˈmɑːrkɪt/
stage,舞台/阶段,名词_pic,A2,The actors walked onto the stage.,演员们走上了舞台。,/steɪdʒ/
island,岛,名词_pic,A2,There are many islands in the sea.,海中有许多岛屿。,/ˈaɪlənd/
roof,屋顶,名词_pic,A2,The roofs of the houses are red.,这些房子的屋顶是红色的。,/ruːf/
harbour,港口,名词_pic,B1,The ships stayed in the harbour during the storm.,暴风雨期间船只停泊在港口。,/ˈhɑːrbər/
mine,矿,名词_pic,B1,He worked in a coal mine for many years.,他在煤矿工作了很多年。,/maɪn/
slope,斜坡,名词_pic,B1,The slope of the hill is very steep.,这个山坡很陡。,/sloʊp/
prison,监狱,名词_pic,B1,There is a prison near the town.,城镇附近有一座监狱。,/ˈprɪzn/
earth,地球/泥土,名词_pic,A1,The earth goes around the sun.,地球绕着太阳转。,/ɜːrθ/
flower,花,名词_pic,A1,There are many flowers in the garden.,花园里有许多花。,/ˈflaʊər/
grass,草,名词_pic,A1,The grass in the park is very green.,公园里的草非常绿。,/ɡræs/
plant,植物,名词_pic,A1,There are many plants in the garden.,花园里有许多植物。,/plænt/
tree,树,名词_pic,A1,The trees are taller than the houses.,这些树比房子更高。,/triː/
leaf,叶子,名词_pic,A2,The leaves of the tree are green.,树的叶子是绿色的。,/liːf/
root,根,名词_pic,A2,The roots of the tree are deeper than the branches are long.,这棵树的根比树枝更深。,/ruːt/
seed,种子,名词_pic,A2,The seeds are planted in the earth.,种子被种在土里。,/siːd/
stem,茎,名词_pic,B1,The stems of the flowers are green.,花的茎是绿色的。,/stem/
colour,颜色,名词_pic,A1,My favorite color is blue.,我最喜欢的颜色是蓝色。,/ˈkʌlər/
size,尺寸,名词_pic,A1,What size shoes do you wear?,你穿多大码的鞋？,/saɪz/
weight,重量,名词_pic,B1,The weight of the box is heavier than the weight of the bag.,箱子的重量比袋子更重。,/weɪt/
bit,小片,名词_pic,A1,There is a small bit of bread on the plate.,盘子上有一小块面包。,/bɪt/
drop,一滴,名词_pic,A2,There are drops of water on the floor.,地板上有几滴水。,/drɑːp/
taste,味道,名词_pic,A1,The taste of the soup is better than yesterday.,今天汤的味道比昨天更好。,/teɪst/
smell,气味,名词_pic,A2,The smell of fresh bread is wonderful.,新鲜面包的气味真好闻。,/smel/
circle,圆形,名词_pic,A1,Draw three circles on the paper.,在纸上画三个圆。,/ˈsɜːrkl/
angle,角/角度,名词_pic,A2,Draw two angles on the paper.,在纸上画两个角。,/ˈæŋɡl/
square,正方形,名词_pic,A2,There are four squares on the paper.,纸上有四个正方形。,/skwer/
curve,曲线,名词_pic,B1,There is a sharp curve in the road ahead.,前面路上有一个急弯。,/kɜːrv/
arch,拱门,名词_pic,B1,The arches of the bridge are higher than those of the old bridge.,这座桥的拱门比旧桥的更高。,/ɑːrtʃ/
moon,月亮,名词_pic,A1,The moon is brighter than the stars.,月亮比星星更亮。,/muːn/
star,星星,名词_pic,A1,The stars are brighter at night.,星星在夜晚更亮。,/stɑːr/
sun,太阳,名词_pic,A1,The sun is brighter than the moon.,太阳比月亮更亮。,/sʌn/
building,建筑/建筑物,名词_pic,A1,There are many tall buildings in the city.,城市里有许多高楼大厦。,/ˈbɪldɪŋ/
cover,盖子/封面,名词_pic,A1,Put the cover back on the pot.,把盖子盖回锅上。,/ˈkʌvər/
fire,火,名词_pic,A1,The fire is very hot.,火很热。,/ˈfaɪər/
hole,洞,名词_pic,A1,There is a hole in my sock.,我的袜子上有一个洞。,/hoʊl/
letter,信件/字母,名词_pic,A1,I received a long letter from my friend.,我收到了朋友的一封长信。,/ˈletər/
light,光/灯,名词_pic,A1,"Turn on the light, please.",请开灯。,/laɪt/
list,列表,名词_pic,A1,Make a shopping list before you go to the store.,去商店前列一个购物清单。,/lɪst/
machine,机器,名词_pic,A1,This machine is faster than the old one.,这台机器比旧的那台更快。,/məˈʃiːn/
page,页面,名词_pic,A1,Please turn to page ten.,请翻到第十页。,/peɪdʒ/
sign,标志/符号,名词_pic,A1,There is a stop sign at the corner.,拐角处有一个停车标志。,/saɪn/
bag,袋子,名词_pic,A1,There are two bags on the floor.,地板上有两个袋子。,/bæɡ/
ball,球,名词_pic,A1,The boys are playing with balls.,男孩们在玩球。,/bɔːl/
basket,篮子,名词_pic,A1,There are three baskets in the room.,房间里有三个篮子。,/ˈbæskɪt/
bath,浴缸/洗澡,名词_pic,A1,The baths are being cleaned now.,浴缸正在清洗中。,/bæθ/
bed,床,名词_pic,A1,There are two beds in the room.,房间里有两张床。,/bed/
bell,铃铛,名词_pic,A1,The bells are ringing loudly.,铃铛在响亮地响着。,/bel/
board,木板,名词_pic,A1,There are several boards on the floor.,地板上有几块木板。,/bɔːrd/
boat,船,名词_pic,A1,The boats are moving slowly on the water.,船在水面上缓慢移动。,/boʊt/
book,书,名词_pic,A1,There are many books on the shelf.,书架上有许多书。,/bʊk/
boot,靴子,名词_pic,A1,Put your boots on quickly.,快穿上你的靴子。,/buːt/
bottle,瓶子,名词_pic,A1,The bottles are on the table.,瓶子在桌子上。,/ˈbɑːtl/
box,盒子,名词_pic,A1,There are five boxes in the corner.,角落里有五个盒子。,/bɑːks/
brush,刷子,名词_pic,A1,Use a brush to clean your hair.,用梳子梳理你的头发。,/brʌʃ/
button,纽扣,名词_pic,A1,Two buttons came off his coat.,他的外套掉了两颗纽扣。,/ˈbʌtn/
card,卡片,名词_pic,A1,There are many cards on the table.,桌子上有很多卡片。,/kɑːrd/
clock,钟,名词_pic,A1,The clocks on the wall are different.,墙上的钟不一样。,/klɑːk/
coat,外套,名词_pic,A1,Put your coats on the hook.,把你们的外套挂在钩子上。,/koʊt/
cup,杯子,名词_pic,A1,She gave me three cups of tea.,她给了我三杯茶。,/kʌp/
door,门,名词_pic,A1,The doors of the house are made of wood.,房子的门是木头做的。,/dɔːr/
dress,连衣裙,名词_pic,A1,The dresses are hanging on the line.,连衣裙挂在晾衣绳上。,/dres/
fork,叉子,名词_pic,A1,Use the forks to eat your food.,用叉子吃东西。,/fɔːrk/
hat,帽子,名词_pic,A1,The hats are on the table.,帽子在桌子上。,/hæt/
key,钥匙,名词_pic,A1,There are two keys on the table.,桌上有两把钥匙。,/kiː/
knife,刀,名词_pic,A1,The knives are on the table.,刀在桌子上。,/naɪf/
line,线/线条,名词_pic,A1,Draw three straight lines on the paper.,在纸上画三条直线。,/laɪn/
pen,钢笔,名词_pic,A1,The pens are on the desk.,钢笔在桌子上。,/pen/
pencil,铅笔,名词_pic,A1,There are ten pencils in the box.,盒子里有十支铅笔。,/ˈpensl/
picture,图画,名词_pic,A1,The pictures on the wall are beautiful.,墙上的图画很美。,/ˈpɪktʃər/
plate,盘子,名词_pic,A1,There are five plates on the table.,桌子上有五个盘子。,/pleɪt/
pocket,口袋,名词_pic,A1,His pockets are full of money.,他的口袋里装满了钱。,/ˈpɑːkɪt/
pot,锅/罐子,名词_pic,A1,There are two pots on the fire.,火上有两个锅。,/pɑːt/
ship,船,名词_pic,A1,The ships are sailing on the sea.,船只在海上航行。,/ʃɪp/
spoon,勺子,名词_pic,A1,There are three spoons on the table.,桌上有三把勺子。,/spuːn/
ticket,票,名词_pic,A1,The tickets are on the table.,票在桌子上。,/ˈtɪkɪt/
watch,手表,名词_pic,A1,The watches are on the table.,手表在桌子上。,/wɑːtʃ/
wheel,轮子,名词_pic,A1,The wheels of the car are bigger than the wheels of the bike.,汽车的轮子比自行车的更大。,/wiːl/
copy,副本,名词_abs,A2,I need a copy of the report.,我需要一份报告的副本。,/ˈkɑːpi/
lift,电梯,名词_pic,A2,Take the lift to the fifth floor.,乘电梯到五楼。,/lɪft/
mark,标记/分数,名词_pic,A2,Put a mark on the box.,在盒子上做个标记。,/mɑːrk/
note,笔记/便条,名词_pic,A2,Take notes during the lesson.,上课记笔记。,/noʊt/
roll,卷/面包卷,名词_pic,A2,I ate a bread roll with butter.,我吃了一个涂黄油的面包卷。,/roʊl/
shade,阴凉处,名词_pic,A2,Let's sit in the shade of the tree.,我们坐在树荫下吧。,/ʃeɪd/
smoke,烟,名词_pic,A2,There is smoke coming out of the chimney.,烟从烟囱里冒出来。,/smoʊk/
wave,波浪,名词_pic,A2,The waves are higher today than yesterday.,今天的波浪比昨天更高。,/weɪv/
band,带子/乐队,名词_pic,A2,The rubber bands are of different sizes.,这些橡皮筋有不同的大小。,/bænd/
basin,盆,名词_pic,A2,The basins are full of water.,盆里装满了水。,/ˈbeɪsn/
brake,刹车,名词_pic,A2,The brakes of the car are working well.,这辆车的刹车很好用。,/breɪk/
branch,树枝,名词_pic,A2,The branches of this tree are longer than those of that tree.,这棵树的树枝比那棵更长。,/bræntʃ/
bucket,桶,名词_pic,A2,There are two buckets of water.,有两桶水。,/ˈbʌkɪt/
bulb,灯泡,名词_pic,A2,The bulbs give light.,灯泡会发光。,/bʌlb/
camera,相机,名词_pic,A2,The cameras are on the shelf.,相机在架子上。,/ˈkæmərə/
cart,手推车,名词_pic,A2,The carts are pulled by horses.,这些马车由马拉动。,/kɑːrt/
collar,衣领,名词_pic,A2,The collars of the shirts are dirty.,衬衫的衣领脏了。,/ˈkɑːlər/
comb,梳子,名词_pic,A2,She used two combs on her hair.,她用两把梳子梳理头发。,/koʊm/
curtain,窗帘,名词_pic,A2,The curtains are longer than the windows.,窗帘比窗户更长。,/ˈkɜːrtn/
cushion,靠垫,名词_pic,A2,There are four cushions on the seat.,座位上有四个靠垫。,/ˈkʊʃən/
drawer,抽屉,名词_pic,A2,There are many papers in the drawers.,抽屉里有很多文件。,/drɔːr/
engine,发动机,名词_pic,A2,The engines of the cars are hot.,汽车的发动机很热。,/ˈendʒɪn/
feather,羽毛,名词_pic,A2,The birds have white feathers.,这些鸟有白色的羽毛。,/ˈfeðər/
flag,旗帜,名词_pic,A2,The flags are flying high.,旗帜在高高飘扬。,/flæɡ/
glove,手套,名词_pic,A2,Put your gloves on quickly.,快戴上你们的手套。,/ɡlʌv/
gun,枪,名词_pic,A2,The guns are on the table.,枪在桌子上。,/ɡʌn/
hammer,锤子,名词_pic,A2,He used two hammers to do the work.,他用两把锤子做这项工作。,/ˈhæmər/
kettle,水壶,名词_pic,A2,The kettles are on the fire.,水壶在火上。,/ˈketl/
lock,锁,名词_pic,A2,The locks on the doors are old.,门上的锁很旧了。,/lɑːk/
map,地图,名词_pic,A2,There are two maps on the wall.,墙上有两张地图。,/mæp/
match,火柴,名词_pic,A2,The matches are in the box.,火柴在盒子里。,/mætʃ/
needle,针,名词_pic,A2,There are three needles on the table.,桌上有三根针。,/ˈniːdl/
net,网,名词_pic,A2,The fishermen pulled the nets out of the water quickly.,渔民们快速地把网从水里拉出来。,/net/
oven,烤箱,名词_pic,A2,The ovens are hotter than before.,烤箱比以前更热了。,/ˈʌvn/
parcel,包裹,名词_pic,A2,There are three parcels on the floor.,地板上有三个包裹。,/ˈpɑːrsl/
pin,大头针,名词_pic,A2,There are pins on the floor.,地板上有大头针。,/pɪn/
pipe,管子,名词_pic,A2,The pipes are made of steel.,这些管子是钢制的。,/paɪp/
plane,飞机/刨子,名词_pic,A2,The planes are flying high in the sky.,飞机在高空飞行。,/pleɪn/
ring,戒指/铃声,名词_pic,A2,The rings are made of gold.,这些戒指是黄金做的。,/rɪŋ/
shelf,架子,名词_pic,A2,The shelves are full of books.,架子上放满了书。,/ʃelf/
stamp,邮票,名词_pic,A2,The stamps are on the envelope.,邮票在信封上。,/stæmp/
stick,棍子,名词_pic,A2,The sticks are lying on the ground.,棍子躺在地上。,/stɪk/
tray,托盘,名词_pic,A2,There are trays on the table.,桌上有托盘。,/treɪ/
umbrella,雨伞,名词_pic,A2,There are two umbrellas by the door.,门边有两把雨伞。,/ʌmˈbrelə/
crack,裂缝,名词_pic,B1,There is a crack in the window.,窗户上有一条裂缝。,/kræk/
flame,火焰,名词_pic,B1,The flames of the fire were high.,火焰很高。,/fleɪm/
instrument,仪器/乐器,名词_pic,B1,The doctor used a sharp instrument.,医生使用了一个锋利的器械。,/ˈɪnstrəmənt/
join,连接处,名词_pic,B1,The join between the two pipes is leaking.,两个管道的连接处正在漏水。,/dʒɔɪn/
ornament,装饰品,名词_pic,B1,There are ornaments on the Christmas tree.,圣诞树上有装饰品。,/ˈɔːrnəmənt/
ray,光线,名词_pic,B1,A ray of light came through the window.,一束光线透过窗户照了进来。,/reɪ/
stitch,缝线/针脚,名词_pic,B1,She made small stitches on the cloth.,她在布上缝了小针脚。,/stɪtʃ/
vessel,容器/船只,名词_pic,B1,There are two vessels in the harbor.,港口里有两条船。,/ˈvesl/
wound,伤口,名词_pic,B1,The wound on his leg is worse than the wound on his arm.,他腿上的伤口比手臂上的更严重。,/wuːnd/
blade,刀片,名词_pic,B1,The blades of these knives are sharper than those.,这些刀的刀片比那些更锋利。,/bleɪd/
carriage,马车/车厢,名词_pic,B1,The carriages of the train are longer than the old ones.,这列火车的车厢比旧的长。,/ˈkærɪdʒ/
chain,链条,名词_pic,B1,The chains are made of steel.,链条是钢制的。,/tʃeɪn/
cord,绳子,名词_pic,B1,There are three cords on the floor.,地上有三条绳子。,/kɔːrd/
drain,排水管,名词_pic,B1,The drains are blocked with leaves.,排水管被树叶堵住了。,/dreɪn/
frame,框架,名词_pic,B1,The frames of the pictures are made of wood.,画框是木头做的。,/freɪm/
hook,钩子,名词_pic,B1,There are three hooks on the wall.,墙上有三个钩子。,/hʊk/
jewel,珠宝,名词_pic,B1,The jewels are kept in a box.,珠宝被放在一个盒子里。,/ˈdʒuːəl/
knot,结,名词_pic,B1,He made two knots in the rope.,他在绳子上打了两个结。,/nɑːt/
pump,泵,名词_pic,B1,The pumps are working well.,这些泵运转良好。,/pʌmp/
rail,铁轨,名词_pic,B1,The rails are longer than the train.,铁轨比火车更长。,/reɪl/
receipt,收据,名词_pic,B1,There are two receipts in the bag.,袋子里有两张收据。,/rɪˈsiːt/
rod,杆/棒,名词_pic,B1,The rods are made of metal.,这些杆子是金属做的。,/rɑːd/
sail,帆,名词_pic,B1,The sails of the boat are white.,船的帆是白色的。,/seɪl/
screw,螺丝,名词_pic,B1,The screws are smaller than the nails.,这些螺丝比钉子更小。,/skruː/
sponge,海绵,名词_pic,B1,The sponges are soft and wet.,海绵又软又湿。,/spʌndʒ/
whistle,哨子,名词_pic,B1,The whistles are loud.,哨子声音很响。,/ˈwɪsl/
day,一天/白天,名词_pic,A1,There are seven days in a week.,一周有七天。,/deɪ/
hour,小时,名词_pic,A1,I will be back in an hour.,我一小时后回来。,/ˈaʊər/
minute,分钟,名词_pic,A1,There are sixty minutes in an hour.,一小时有六十分钟。,/ˈmɪnɪt/
month,月份,名词_pic,A1,There are twelve months in a year.,一年有十二个月。,/mʌnθ/
morning,早晨,名词_pic,A1,I wake up early every morning.,我每天早上早起。,/ˈmɔːrnɪŋ/
night,夜晚,名词_pic,A1,It is cold at night.,夜晚很冷。,/naɪt/
summer,夏天,名词_pic,A1,Summer is warmer than spring.,夏天比春天更暖和。,/ˈsʌmər/
week,星期,名词_pic,A1,There are seven days in a week.,一周有七天。,/wiːk/
winter,冬天,名词_pic,A1,Winter is colder than summer.,冬天比夏天更冷。,/ˈwɪntər/
year,年,名词_pic,A1,There are twelve months in a year.,一年有十二个月。,/jɪr/
spring,春天/弹簧,名词_pic,A2,Spring is warmer than winter.,春天比冬天更暖和。,/sprɪŋ/
scissors,剪刀,名词_pic,A2,The scissors are on the desk.,剪刀在桌子上。,/ˈsɪzərz/
spade,铲子,名词_pic,A2,The spades are in the garden.,铲子在花园里。,/speɪd/
plough,犁,名词_pic,B1,The ploughs are made of iron.,这些犁是铁制的。,/plaʊ/
whip,鞭子,名词_pic,B1,The whips are on the wall.,鞭子在墙上。,/wɪp/
train,火车,名词_pic,A1,The trains are faster than the buses.,火车比公共汽车更快。,/treɪn/
rain,雨,名词_pic,A1,The rain is falling heavily.,雨下得很大。,/reɪn/
snow,雪,名词_pic,A1,The snow is whiter than the clouds.,雪比云更白。,/snoʊ/
cloud,云,名词_pic,A1,The clouds are moving quickly across the sky.,云在天空中快速移动。,/klaʊd/
wind,风,名词_pic,A2,The wind is blowing strongly.,风猛烈地吹着。,/wɪnd/
mist,薄雾,名词_pic,B1,The mist cleared in the morning.,早晨雾散了。,/mɪst/
thunder,雷声,名词_pic,B1,The thunder was louder than the rain.,雷声比雨声更大。,/ˈθʌndər/
about,关于,介词_prep,A1,There is a book about animals on the shelf.,架子上有一本关于动物的书。,/əˈbaʊt/
after,在...之后,介词_prep,A1,"After the rain stopped, the sun came out.",雨停之后，太阳出来了。,/ˈæftər/
at,在,介词_prep,A1,He is waiting at the bus stop.,他在公交车站等着。,/æt/
before,在...之前,介词_prep,A1,Wash your hands before every meal.,每餐前都要洗手。,/bɪˈfɔːr/
between,在...之间,介词_prep,A1,The bank is between the school and the hospital.,银行在学校和医院之间。,/bɪˈtwiːn/
by,在...旁边/通过,介词_prep,A1,The book was written by a famous writer.,这本书是一位著名作家写的。,/baɪ/
down,向下,介词_prep,A1,The water is running down the pipe.,水正顺着管子往下流。,/daʊn/
from,从,介词_prep,A1,I got a letter from my brother yesterday.,我昨天收到了弟弟的来信。,/frʌm/
in,在...里,介词_prep,A1,The pen is in my pocket.,钢笔在我的口袋里。,/ɪn/
on,在...上,介词_prep,A1,The book is on the desk.,书在桌子上。,/ɑːn/
over,在...上方,介词_prep,A1,The plane flew over the city.,飞机飞过了城市上空。,/ˈoʊvər/
through,穿过,介词_prep,A1,The train went through a long tunnel.,火车穿过了一条长长的隧道。,/θruː/
to,到/向,介词_prep,A1,She gave a present to her mother.,她给母亲送了一份礼物。,/tuː/
under,在...下面,介词_prep,A1,The cat is sleeping under the bed.,猫在床底下睡觉。,/ˈʌndər/
up,向上,介词_prep,A1,He climbed up the ladder slowly.,他慢慢地爬上了梯子。,/ʌp/
with,和...一起,介词_prep,A1,I went for a walk with my friend.,我和朋友一起去散步了。,/wɪð/
as,作为,介词_prep,A1,He works as a teacher in a small school.,他在一所小学校里当老师。,/æz/
for,为了,介词_prep,A1,This gift is for you.,这份礼物是给你的。,/fɔːr/
of,...的,介词_prep,A1,The color of the sky is blue.,天空的颜色是蓝色的。,/ʌv/
across,穿过,介词_prep,A2,The boy ran across the road quickly.,男孩快速跑过了马路。,/əˈkrɔːs/
against,反对/靠着,介词_prep,A2,Do not put the ladder against the window.,不要把梯子靠在窗户上。,/əˈɡenst/
off,离开/关掉,介词_prep,A2,Take your feet off the table.,把你的脚从桌子上拿开。,/ɔːf/
till,直到,介词_prep,A2,Wait till I come back.,等我回来。,/tɪl/
among,在...之中,介词_prep,B1,She is sitting among her friends.,她坐在朋友们中间。,/əˈmʌŋ/
I,我,代词_pron,A1,I am taller than my brother.,我比我哥哥高。,/aɪ/
he,他,代词_pron,A1,He runs faster than me.,他跑得比我快。,/hiː/
you,你/你们,代词_pron,A1,You are the best student in the class.,你是班上最好的学生。,/juː/
who,谁,代词_pron,A1,Who is that man at the door?,门口那个人是谁？,/huː/
send,发送,动词_operator,A2,She sent a letter to her mother yesterday.,她昨天给母亲寄了一封信。,/send/
be,是,动词_operator,A1,There are two apples on the table.,桌上有两个苹果。,/biː/
do,做,动词_operator,A1,Do your work more carefully next time.,下次更仔细地做你的工作。,/duː/
have,有,动词_operator,A1,"She has two brothers, but he has three.",她有两个兄弟，但他有三个。,/hæv/
come,来,动词_operator,A1,The boys came to the house quickly.,男孩们很快来到了房子。,/kʌm/
get,得到,动词_operator,A1,She got a letter from her friend yesterday.,她昨天收到了朋友的来信。,/ɡet/
